Employee_ID,Name,Department,Designation,Ward,Current_Workload,Max_Workload,Status,Phone,Experience
EMP087,Karan Singh,Estate,Estate Officer,Ward-110,8,10,On Leave,9998094024,23
EMP088,Akash Shetty,Estate,Estate Officer,Ward-2,2,10,Busy,9961201836,14
EMP089,Varun Shetty,Estate,Estate Officer,Ward-95,4,10,Busy,9991022901,9
EMP090,Abhishek Kulkarni,Estate,Estate Officer,Ward-156,7,10,Available,9381561497,17
EMP091,Akash Gupta,Markets,Market Officer,Ward-102,0,10,Available,9432445107,24
EMP092,Ritu Patel,Markets,Market Officer,Ward-98,8,10,Busy,9885160607,3
EMP093,Manoj Kulkarni,Markets,Market Officer,Ward-182,6,10,Available,9605297516,4
EMP094,Pooja Kulkarni,Markets,Market Officer,Ward-135,1,10,Available,9453521818,17
EMP095,Harsha Yadav,Markets,Market Officer,Ward-187,2,10,Available,9243292127,15
EMP096,Abhishek Shetty,Education,Education Officer,Ward-39,7,10,Available,9744905814,15
EMP097,Abhishek Gupta,Education,Education Officer,Ward-95,4,10,Available,9199867980,15
EMP098,Harsha Shetty,Education,Education Officer,Ward-129,2,10,On Leave,9715182037,15
EMP099,Harish Mishra,Education,Education Officer,Ward-94,5,10,On Leave,9665905151,18
EMP100,Rakesh Rao,Education,Education Officer,Ward-186,2,10,Available,9925462914,18
EMP101,Rakesh Shetty,Road Infrastructure,Civil Engineer,Ward-172,8,10,Available,9685054235,25
EMP102,Bhavya Joshi,Road Infrastructure,Civil Engineer,Ward-36,2,10,Available,9188805929,13
EMP103,Sneha Patel,Road Infrastructure,Civil Engineer,Ward-178,2,10,Busy,9065379473,18
EMP104,Pooja Rao,Road Infrastructure,Civil Engineer,Ward-50,5,10,Available,9977468862,7
EMP105,Meera Singh,Road Infrastructure,Civil Engineer,Ward-165,7,10,Busy,9818141247,17
EMP106,Sneha Kulkarni,Plastic,Environmental Officer,Ward-57,7,10,Busy,9060685361,12
EMP107,Suresh Sharma,Plastic,Environmental Officer,Ward-26,5,10,Busy,9204727790,3
EMP108,Aman Singh,Plastic,Environmental Officer,Ward-39,8,10,On Leave,9986143410,8
EMP109,Swathi Gowda,Plastic,Environmental Officer,Ward-29,7,10,Available,9089324609,12
EMP110,Pooja Kulkarni,Plastic,Environmental Officer,Ward-171,1,10,Available,9518888806,16
EMP111,Priya Das,Traffic Engineer Cell (TEC),Traffic Engineer,Ward-65,0,10,Available,9153195205,18
EMP112,Naveen Patel,Traffic Engineer Cell (TEC),Traffic Engineer,Ward-179,7,10,Available,9217043030,11
EMP113,Akash Mishra,Traffic Engineer Cell (TEC),Traffic Engineer,Ward-140,7,10,Available,9345054156,13
EMP114,Abhishek Das,Traffic Engineer Cell (TEC),Traffic Engineer,Ward-48,7,10,Available,9584161692,18
EMP115,Aditya Shetty,Traffic Engineer Cell (TEC),Traffic Engineer,Ward-21,5,10,Available,9479627570,24
EMP116,Anil Kulkarni,BBMP Election Branch,Election Officer,Ward-164,0,10,Available,9658202970,5
EMP117,Rohit Verma,BBMP Election Branch,Election Officer,Ward-93,6,10,On Leave,9092755719,5
EMP118,Harish Yadav,BBMP Election Branch,Election Officer,Ward-81,4,10,Available,9102786814,25
EMP119,Nikhil Gowda,BBMP Election Branch,Election Officer,Ward-157,4,10,Available,9731217271,22
EMP120,Manoj Yadav,BBMP Election Branch,Election Officer,Ward-141,8,10,Available,9422583132,8
EMP121,Bhavya Sharma,Call Center,Customer Support Representative,Ward-142,5,10,Available,9829114678,14
EMP122,Swathi Kumar,Call Center,Customer Support Representative,Ward-82,1,10,Available,9852892268,2
EMP123,Karan Mishra,Call Center,Customer Support Representative,Ward-78,2,10,Available,9358414384,5
EMP124,Akash Kumar,Call Center,Customer Support Representative,Ward-152,2,10,Available,9995900109,9
EMP125,Ranganath Kulkarni,Call Center,Customer Support Representative,Ward-128,8,10,Available,9473647102,15
EMP126,Swathi Iyer,Major Roads,Executive Engineer,Ward-53,5,10,Available,9555625881,11
EMP127,Pooja Gowda,Major Roads,Executive Engineer,Ward-69,7,10,Available,9104696325,19
EMP128,Manoj Joshi,Major Roads,Executive Engineer,Ward-128,8,10,Available,9470168733,19
EMP129,Anil Gupta,Major Roads,Executive Engineer,Ward-73,7,10,Available,9748016245,25
EMP130,Kavya Yadav,Major Roads,Executive Engineer,Ward-103,0,10,Available,9358416878,9
EMP131,Karan Nair,Information Technology,System Admin,Ward-101,5,10,Busy,9585239868,2
EMP132,Priya Gupta,Information Technology,System Admin,Ward-183,5,10,Busy,9872982595,6
EMP133,Kavya Rao,Information Technology,System Admin,Ward-130,8,10,Available,9947055169,10
EMP134,Aman Iyer,Information Technology,System Admin,Ward-168,3,10,Busy,9972896230,19
EMP135,Karan Joshi,Information Technology,System Admin,Ward-113,5,10,Available,9636897028,7
EMP136,Manoj Iyer,Indira Canteen,Canteen Manager,Ward-81,2,10,Available,9858549733,9
EMP137,Akash Verma,Indira Canteen,Canteen Manager,Ward-198,4,10,Busy,9757584419,22
EMP138,Madhav Das,Indira Canteen,Canteen Manager,Ward-89,2,10,Available,9415747338,9
EMP139,Shivam Nair,Indira Canteen,Canteen Manager,Ward-158,3,10,Available,9833016571,22
EMP140,Meera Sharma,Indira Canteen,Canteen Manager,Ward-105,7,10,Available,9345401938,24
EMP141,Priya Patel,Water Crisis,Water Officer,Ward-46,0,10,On Leave,9672400499,4
EMP142,Naveen Rao,Water Crisis,Water Officer,Ward-165,8,10,Available,9287431527,21
EMP143,Nikhil Patel,Water Crisis,Water Officer,Ward-189,5,10,Busy,9932966851,13
EMP144,Ananya Patel,Water Crisis,Water Officer,Ward-123,5,10,On Leave,9046374549,24
EMP145,Rahul Singh,Water Crisis,Water Officer,Ward-178,3,10,Available,9174268414,12
EMP146,Suresh Verma,Projects Central,Project Manager,Ward-123,2,10,Available,9956878339,3
EMP147,Harish Gowda,Projects Central,Project Manager,Ward-20,1,10,Available,9883982258,15
EMP148,Karan Joshi,Projects Central,Project Manager,Ward-24,8,10,Available,9072867908,15
EMP149,Akash Sharma,Projects Central,Project Manager,Ward-66,0,10,Busy,9910651801,16
EMP150,Priya Rao,Projects Central,Project Manager,Ward-47,2,10,Busy,9656766182,21
EMP151,Anil Reddy,E khata / Khata services,Khata Officer,Ward-138,6,10,Available,9300478686,8
EMP152,Pooja Gowda,E khata / Khata services,Khata Officer,Ward-40,4,10,Available,9106903311,20
EMP153,Priya Gowda,E khata / Khata services,Khata Officer,Ward-63,0,10,Available,9383028439,11
EMP154,Manoj Verma,E khata / Khata services,Khata Officer,Ward-37,8,10,Available,9440892687,2
EMP155,Anil Das,E khata / Khata services,Khata Officer,Ward-179,6,10,Available,9462873342,15
EMP156,Neha Kulkarni,Property Tax services,Tax Officer,Ward-143,8,10,Available,9343517518,24
EMP157,Harsha Gupta,Property Tax services,Tax Officer,Ward-97,0,10,Busy,9398373540,7
EMP158,Harsha Reddy,Property Tax services,Tax Officer,Ward-63,3,10,Available,9385467854,9
EMP159,Sanjay Mishra,Property Tax services,Tax Officer,Ward-120,1,10,Busy,9753556093,24
EMP160,Sneha Sharma,Property Tax services,Tax Officer,Ward-142,6,10,Available,9353693785,9
